rgn_id,CALETA,stock,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
15,ARICA,ACHA O HACHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ARICA,AGUJILLA,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0
15,ARICA,ALMEJA,15,5,1,3,1,1,0,0,0,0,0,0,0,0,0
15,ARICA,ANCHOVETA,33863,41211,76970,74813,110434,89975,72083,0,0,0,0,0,0,0,0
15,ARICA,ANGUILA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ARICA,APAÑADO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ARICA,AYANQUE,15,13,42,39,51,53,5,0,0,0,0,0,0,0,0
15,ARICA,AZULEJO,2,3,3,5,3,5,4,0,0,0,0,0,0,0,0
15,ARICA,BACALADILLO O MOTE,0,0,2504,461,435,599,979,0,0,0,0,0,0,0,0
15,ARICA,BACALAO DE PROFUNDIDAD,184,97,101,13,18,24,24,0,0,0,0,0,0,0,0
15,ARICA,BONITO,1,1,0,2,6,9,0,0,0,0,0,0,0,0,0
15,ARICA,CABALLA,21,0,81,116,230,14,6,0,0,0,0,0,0,0,0
15,ARICA,CABINZA,1,2,1,5,2,7,3,0,0,0,0,0,0,0,0
15,ARICA,CABRILLA,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
15,ARICA,CABRILLA COMUN,11,13,9,15,22,20,13,0,0,0,0,0,0,0,0
15,ARICA,CARACOL LOCATE,137,51,2,67,8,17,9,0,0,0,0,0,0,0,0
15,ARICA,CENTOLLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ARICA,CENTOLLA DEL NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ARICA,CENTOLLON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ARICA,CENTOLLON DEL NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ARICA,CHOLGA,101,62,43,48,42,25,6,0,0,0,0,0,0,0,0
15,ARICA,CHORITO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,ARICA,CHORO,0,2,2,8,20,2,0,0,0,0,0,0,0,0,0
15,ARICA,COJINOBA DEL NORTE,3,6,9,9,21,44,18,0,0,0,0,0,0,0,0
15,ARICA,CONGRIO COLORADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ARICA,CONGRIO DORADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ARICA,CONGRIO NEGRO,3,2,4,6,6,7,2,0,0,0,0,0,0,0,0
15,ARICA,CORVINA,4,7,5,5,21,44,12,0,0,0,0,0,0,0,0
15,ARICA,CRUSTACEO NO CLASIFICADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
