REGION,PORT,SPECIES,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
15,ARICA,AGUJILLA, -   , -   , -   , -   , -   , -   , -   ,87,432,165,35,125,413,24,4
15,ARICA,ANCHOVETA, -   , -   , -   , -   , -   , -   , -   ,"126,514","118,932","88,687","27,060","232,336","155,817","102,952","146,283"
15,ARICA,BACALADILLO O MOTE, -   , -   , -   , -   , -   , -   , -   , -   , -   ,502, -   ,421,101,13, -   
15,ARICA,BONITO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1
15,ARICA,CABALLA, -   , -   , -   , -   , -   , -   , -   ,"18,592","9,387","8,121",983,161,271,"1,241",360
15,ARICA,CALAMAR, -   , -   , -   , -   , -   , -   , -   ,6,1, -   , -   , -   , -   , -   , -   
15,ARICA,JIBIA O CALAMAR ROJO, -   , -   , -   , -   , -   , -   , -   ,59,118,7,3,66,4,1,5
15,ARICA,JUREL, -   , -   , -   , -   , -   , -   , -   ,"33,334","14,363","4,497","1,065",616,494,"3,928","1,045"
15,ARICA,LANGOSTINO ENANO, -   , -   , -   , -   , -   , -   , -   ,2,1,37,114,65,58, -   ,44
15,ARICA,PEJERREY DE MAR, -   , -   , -   , -   , -   , -   , -   ,22,12,1, -   ,1,2,3, -   
15,ARICA,AGUJILLA, -   , -   ,244,"2,395",364,233,54, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,ANCHOVETA,"341,095","121,787","224,272","53,282","348,047","193,801","57,724", -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,BACALADILLO O MOTE, -   ,15,502,40,54,1, -   , -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,BACALAO DE PROFUNDIDAD,11,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,CABALLA,"2,008","16,102","34,045","79,920","18,129","7,879","40,390", -   , -   , -   , -   , -   , -   , -   , -   
